date,lat[unit="degrees_north"],lon[unit="degrees_east"],salt[unit=""],temp[unit="Celsius"]
2016-05-08T03:00:00Z,40.2,1.8,38.23845291137695,16.287256240844727
2016-05-08T06:00:00Z,40.2,1.8,38.23957824707031,16.28346824645996
2016-05-08T09:00:00Z,40.2,1.8,38.24031066894531,16.445798873901367
2016-05-08T12:00:00Z,40.2,1.8,38.2375373840332,16.749149322509766
2016-05-08T15:00:00Z,40.2,1.8,38.22469711303711,16.976221084594727
2016-05-08T18:00:00Z,40.2,1.8,38.20857238769531,16.962215423583984
2016-05-08T21:00:00Z,40.2,1.8,38.222496032714844,16.67559242248535
2016-05-09T00:00:00Z,40.2,1.8,38.1984748840332,16.698837280273438
2016-05-09T03:00:00Z,40.2,1.8,38.195072174072266,16.63773536682129
2016-05-09T06:00:00Z,40.2,1.8,38.19918441772461,16.634048461914062
2016-05-09T09:00:00Z,40.2,1.8,38.194862365722656,16.74989128112793
2016-05-09T12:00:00Z,40.2,1.8,38.18865203857422,16.93617820739746
2016-05-09T15:00:00Z,40.2,1.8,38.18007278442383,17.14397430419922
2016-05-09T18:00:00Z,40.2,1.8,38.15208435058594,17.329683303833008
2016-05-09T21:00:00Z,40.2,1.8,38.10860824584961,17.45550537109375
2016-05-10T00:00:00Z,40.2,1.8,38.14341735839844,16.698287963867188
2016-05-10T03:00:00Z,40.2,1.8,38.141754150390625,16.51032066345215
2016-05-10T06:00:00Z,40.2,1.8,38.14451217651367,16.44683074951172
2016-05-10T09:00:00Z,40.2,1.8,38.1155891418457,16.632394790649414
2016-05-10T12:00:00Z,40.2,1.8,38.06382751464844,17.04210662841797
2016-05-10T15:00:00Z,40.2,1.8,38.054344177246094,17.273019790649414
2016-05-10T18:00:00Z,40.2,1.8,38.0604133605957,17.261165618896484
2016-05-10T21:00:00Z,40.2,1.8,38.08228302001953,16.676271438598633
2016-05-11T00:00:00Z,40.2,1.8,38.1032829284668,16.629241943359375
2016-05-11T03:00:00Z,40.2,1.8,38.07998275756836,16.627471923828125
2016-05-11T06:00:00Z,40.2,1.8,38.06825637817383,16.61838150024414
2016-05-11T09:00:00Z,40.2,1.8,38.06439971923828,16.62984275817871
2016-05-11T12:00:00Z,40.2,1.8,38.07713317871094,16.877662658691406
2016-05-11T15:00:00Z,40.2,1.8,38.08964538574219,17.021728515625
2016-05-11T18:00:00Z,40.2,1.8,38.076358795166016,16.950973510742188
2016-05-11T21:00:00Z,40.2,1.8,38.035850524902344,16.79557228088379
2016-05-12T00:00:00Z,40.2,1.8,38.00202941894531,16.738855361938477
2016-05-12T03:00:00Z,40.2,1.8,38.010189056396484,16.71522331237793
2016-05-12T06:00:00Z,40.2,1.8,38.0288200378418,16.687950134277344
2016-05-12T09:00:00Z,40.2,1.8,38.03231430053711,16.80939292907715
2016-05-12T12:00:00Z,40.2,1.8,38.02363204956055,17.006298065185547
2016-05-12T15:00:00Z,40.2,1.8,38.02665710449219,17.00952911376953
2016-05-12T18:00:00Z,40.2,1.8,38.0411491394043,16.928274154663086
2016-05-12T21:00:00Z,40.2,1.8,38.06026077270508,16.8154239654541
2016-05-13T00:00:00Z,40.2,1.8,38.07787322998047,16.74169158935547
2016-05-13T03:00:00Z,40.2,1.8,38.0885009765625,16.70685386657715
2016-05-13T06:00:00Z,40.2,1.8,38.09819793701172,16.691682815551758
2016-05-13T09:00:00Z,40.2,1.8,38.11307907104492,16.724035263061523
2016-05-13T12:00:00Z,40.2,1.8,38.13405227661133,16.863059997558594
2016-05-13T15:00:00Z,40.2,1.8,38.1518440246582,17.000967025756836
2016-05-13T18:00:00Z,40.2,1.8,38.1441650390625,16.93597412109375
2016-05-13T21:00:00Z,40.2,1.8,38.12784957885742,16.806682586669922
2016-05-14T00:00:00Z,40.2,1.8,38.11157989501953,16.76095962524414
2016-05-14T03:00:00Z,40.2,1.8,38.09088134765625,16.745201110839844
2016-05-14T06:00:00Z,40.2,1.8,38.144920349121094,16.609365463256836
2016-05-14T09:00:00Z,40.2,1.8,38.195281982421875,16.574485778808594
2016-05-14T12:00:00Z,40.2,1.8,38.20634841918945,16.71189308166504
2016-05-14T15:00:00Z,40.2,1.8,38.19222640991211,16.875865936279297
2016-05-14T18:00:00Z,40.2,1.8,38.18196487426758,16.8673152923584
2016-05-14T21:00:00Z,40.2,1.8,38.17375183105469,16.867340087890625
2016-05-15T00:00:00Z,40.2,1.8,38.15972900390625,16.77981948852539
2016-05-15T03:00:00Z,40.2,1.8,38.225677490234375,16.745649337768555
2016-05-15T06:00:00Z,40.2,1.8,38.264713287353516,16.760425567626953
2016-05-15T09:00:00Z,40.2,1.8,38.2662239074707,16.882009506225586
2016-05-15T12:00:00Z,40.2,1.8,38.25659942626953,17.203245162963867
2016-05-15T15:00:00Z,40.2,1.8,38.24925994873047,17.551776885986328
2016-05-15T18:00:00Z,40.2,1.8,38.26182174682617,17.775903701782227
2016-05-15T21:00:00Z,40.2,1.8,38.281795501708984,17.689769744873047
2016-05-16T00:00:00Z,40.2,1.8,38.27115249633789,17.508037567138672
2016-05-16T03:00:00Z,40.2,1.8,38.26118469238281,17.00358772277832
2016-05-16T06:00:00Z,40.2,1.8,38.25116729736328,16.837173461914062
2016-05-16T09:00:00Z,40.2,1.8,38.25959014892578,16.885238647460938
2016-05-16T12:00:00Z,40.2,1.8,38.293636322021484,17.185644149780273
2016-05-16T15:00:00Z,40.2,1.8,38.29111862182617,17.595239639282227
2016-05-16T18:00:00Z,40.2,1.8,38.299007415771484,17.698331832885742
2016-05-16T21:00:00Z,40.2,1.8,38.286766052246094,17.296430587768555
2016-05-17T00:00:00Z,40.2,1.8,38.24681091308594,17.06700325012207
2016-05-17T03:00:00Z,40.2,1.8,38.28269958496094,17.03281593322754
2016-05-17T06:00:00Z,40.2,1.8,38.272586822509766,17.074384689331055
2016-05-17T09:00:00Z,40.2,1.8,38.26611328125,17.31754493713379
2016-05-17T12:00:00Z,40.2,1.8,38.279762268066406,17.85228729248047
2016-05-17T15:00:00Z,40.2,1.8,38.29150390625,18.302675247192383
2016-05-17T18:00:00Z,40.2,1.8,38.28886413574219,18.33377456665039
2016-05-17T21:00:00Z,40.2,1.8,38.290077209472656,18.088329315185547
2016-05-18T00:00:00Z,40.2,1.8,38.27739334106445,17.856300354003906
2016-05-18T03:00:00Z,40.2,1.8,38.2613639831543,17.691652297973633
2016-05-18T06:00:00Z,40.2,1.8,38.27455139160156,17.675609588623047
2016-05-18T09:00:00Z,40.2,1.8,38.290771484375,17.89293670654297
2016-05-18T12:00:00Z,40.2,1.8,38.26201629638672,17.72075843811035
2016-05-18T15:00:00Z,40.2,1.8,38.240631103515625,17.852495193481445
2016-05-18T18:00:00Z,40.2,1.8,38.191429138183594,17.717845916748047
2016-05-18T21:00:00Z,40.2,1.8,38.16679382324219,17.643630981445312
2016-05-19T00:00:00Z,40.2,1.8,38.172149658203125,17.588111877441406
2016-05-19T03:00:00Z,40.2,1.8,38.15718460083008,17.550012588500977
2016-05-19T06:00:00Z,40.2,1.8,38.137107849121094,17.575429916381836
2016-05-19T09:00:00Z,40.2,1.8,38.14701461791992,17.693992614746094
2016-05-19T12:00:00Z,40.2,1.8,38.1657829284668,17.869037628173828
2016-05-19T15:00:00Z,40.2,1.8,38.197784423828125,18.030048370361328
2016-05-19T18:00:00Z,40.2,1.8,38.21013641357422,17.996780395507812
2016-05-19T21:00:00Z,40.2,1.8,38.18054962158203,17.94213104248047
2016-05-20T00:00:00Z,40.2,1.8,38.1602668762207,17.90994644165039
2016-05-20T03:00:00Z,40.2,1.8,38.15227508544922,17.846006393432617
2016-05-20T06:00:00Z,40.2,1.8,38.17778015136719,17.82086753845215
2016-05-20T09:00:00Z,40.2,1.8,38.19915771484375,17.916301727294922
2016-05-20T12:00:00Z,40.2,1.8,38.20780944824219,18.338722229003906
2016-05-20T15:00:00Z,40.2,1.8,38.212684631347656,18.76034164428711
2016-05-20T18:00:00Z,40.2,1.8,38.19770812988281,18.482524871826172
2016-05-20T21:00:00Z,40.2,1.8,38.182865142822266,18.045642852783203
2016-05-21T00:00:00Z,40.2,1.8,38.167972564697266,17.954357147216797
2016-05-21T03:00:00Z,40.2,1.8,38.1512336730957,17.92668914794922
2016-05-21T06:00:00Z,40.2,1.8,38.14984130859375,17.921995162963867
2016-05-21T09:00:00Z,40.2,1.8,38.16127395629883,18.017057418823242
2016-05-21T12:00:00Z,40.2,1.8,38.16770553588867,18.149333953857422
2016-05-21T15:00:00Z,40.2,1.8,38.11046600341797,18.22686004638672
2016-05-21T18:00:00Z,40.2,1.8,38.04985046386719,18.16826629638672
2016-05-21T21:00:00Z,40.2,1.8,38.04670333862305,18.03907585144043
2016-05-22T00:00:00Z,40.2,1.8,38.05490493774414,18.011001586914062
2016-05-22T03:00:00Z,40.2,1.8,38.06990051269531,17.982479095458984
2016-05-22T06:00:00Z,40.2,1.8,38.077735900878906,17.955631256103516
2016-05-22T09:00:00Z,40.2,1.8,38.05657958984375,18.061046600341797
2016-05-22T12:00:00Z,40.2,1.8,38.04248046875,18.25151252746582
2016-05-22T15:00:00Z,40.2,1.8,38.03328323364258,18.54021644592285
2016-05-22T18:00:00Z,40.2,1.8,38.02904510498047,18.59427261352539
2016-05-22T21:00:00Z,40.2,1.8,38.04805374145508,18.14691162109375
2016-05-23T00:00:00Z,40.2,1.8,38.082923889160156,17.87604522705078
2016-05-23T03:00:00Z,40.2,1.8,38.104393005371094,17.703100204467773
2016-05-23T06:00:00Z,40.2,1.8,38.11774444580078,17.629287719726562
2016-05-23T09:00:00Z,40.2,1.8,38.11873245239258,17.689443588256836
2016-05-23T12:00:00Z,40.2,1.8,38.120609283447266,17.82286262512207
2016-05-23T15:00:00Z,40.2,1.8,38.126773834228516,17.923532485961914
2016-05-23T18:00:00Z,40.2,1.8,38.12713623046875,17.849790573120117
2016-05-23T21:00:00Z,40.2,1.8,38.127784729003906,17.743356704711914
2016-05-24T00:00:00Z,40.2,1.8,38.03863525390625,17.702239990234375
2016-05-24T03:00:00Z,40.2,1.8,38.03765869140625,17.671791076660156
2016-05-24T06:00:00Z,40.2,1.8,38.035552978515625,17.6735782623291
2016-05-24T09:00:00Z,40.2,1.8,38.03818893432617,17.796585083007812
2016-05-24T12:00:00Z,40.2,1.8,38.0432014465332,18.007673263549805
2016-05-24T15:00:00Z,40.2,1.8,38.049251556396484,18.041614532470703
2016-05-24T18:00:00Z,40.2,1.8,38.052425384521484,17.916553497314453
